first_name,last_name,title,release_year,category_id,actor_id,film_id
SANDRA,KILMER,BLACKOUT PRIVATE,2006,2,23,78
JENNIFER,DAVIS,BLADE POLISH,2006,7,4,79
ALEC,WAYNE,BLADE POLISH,2006,7,29,79
FRED,COSTNER,BLANKET BEVERLY,2006,8,16,80
BURT,DUKAKIS,BLINDNESS GUN,2006,14,36,81
ALEC,WAYNE,BLOOD ARGONAUTS,2006,7,29,82
CAMERON,STREEP,BLUES INSTINCT,2006,8,24,83
DAN,TORN,BOILED DARES,2006,16,18,84
TIM,HACKMAN,BOILED DARES,2006,16,32,84
JOHNNY,LOLLOBRIGIDA,BONNIE HOLOCAUST,2006,6,5,85
JULIA,MCQUEEN,BONNIE HOLOCAUST,2006,6,27,85
KEVIN,BLOOM,BOOGIE AMELIE,2006,12,25,86
ED,CHASE,BOONDOCK BALLROOM,2006,16,3,87
JENNIFER,DAVIS,BOONDOCK BALLROOM,2006,16,4,87
UMA,WOOD,BOONDOCK BALLROOM,2006,16,13,87
FRED,COSTNER,BOONDOCK BALLROOM,2006,16,16,87
KIRSTEN,PALTROW,BOONDOCK BALLROOM,2006,16,21,87
SANDRA,PECK,BOONDOCK BALLROOM,2006,16,30,87
KIRSTEN,PALTROW,BORN SPINAL,2006,16,21,88
SISSY,SOBIESKI,BORN SPINAL,2006,16,31,88
CUBA,OLIVIER,BORROWERS BEDAZZLED,2006,2,15,89
ELVIS,MARX,BORROWERS BEDAZZLED,2006,2,22,89
RIP,CRAWFORD,BOULEVARD MOB,2006,13,26,90
AUDREY,OLIVIER,BOULEVARD MOB,2006,13,34,90
KARL,BERRY,BOUND CHEAPER,2006,4,12,91
CUBA,OLIVIER,BOUND CHEAPER,2006,4,15,91
KARL,BERRY,BOWFINGER GABLES,2006,11,12,92
RIP,CRAWFORD,BRANNIGAN SUNRISE,2006,13,26,93
WOODY,HOFFMAN,BRAVEHEART HUMAN,2006,16,28,94
SISSY,SOBIESKI,BREAKFAST GOLDFINGER,2006,12,31,95
GRACE,MOSTEL,BREAKING HOME,2006,13,7,96
HELEN,VOIGHT,BREAKING HOME,2006,13,17,96
WOODY,HOFFMAN,BREAKING HOME,2006,13,28,96
WOODY,HOFFMAN,BRIDE INTRIGUE,2006,4,28,97
JULIA,MCQUEEN,BRIGHT ENCOUNTERS,2006,16,27,98
SANDRA,PECK,BRINGING HYSTERICAL,2006,1,30,99
JULIA,MCQUEEN,BROOKLYN DESERT,2006,8,27,100
FRED,COSTNER,BROTHERHOOD BLANKET,2006,6,16,101
RIP,CRAWFORD,BUBBLE GROSSE,2006,9,26,102
RIP,CRAWFORD,BUCKET BROTHERHOOD,2006,16,26,103
TIM,HACKMAN,BUCKET BROTHERHOOD,2006,16,32,103
ALEC,WAYNE,BUGSY SONG,2006,2,29,104
NICK,WAHLBERG,BULL SHAWSHANK,2006,1,2,105
SANDRA,KILMER,BULL SHAWSHANK,2006,1,23,105
ALEC,WAYNE,BULL SHAWSHANK,2006,1,29,105
PENELOPE,GUINESS,BULWORTH COMMANDMENTS,2006,10,1,106
KARL,BERRY,BUNCH MINDS,2006,7,12,107
WOODY,HOFFMAN,BUNCH MINDS,2006,7,28,107
CUBA,OLIVIER,BUTCH PANTHER,2006,13,15,108
RIP,CRAWFORD,BUTTERFLY CHOCOLAT,2006,6,26,109
UMA,WOOD,CABIN FLASH,2006,3,13,110
ALEC,WAYNE,CABIN FLASH,2006,3,29,110
ED,CHASE,CADDYSHACK JEDI,2006,1,3,111
ELVIS,MARX,CADDYSHACK JEDI,2006,1,22,111
TOM,MCKELLEN,CADDYSHACK JEDI,2006,1,38,111
BETTE,NICHOLSON,CALENDAR GUNFIGHT,2006,9,6,112
CAMERON,STREEP,CALENDAR GUNFIGHT,2006,9,24,112
TIM,HACKMAN,CALENDAR GUNFIGHT,2006,9,32,112
MILLA,PECK,CALENDAR GUNFIGHT,2006,9,33,112
KEVIN,BLOOM,CALIFORNIA BIRDS,2006,13,25,113
WOODY,HOFFMAN,CAMELOT VACATION,2006,5,28,114
MATTHEW,JOHANSSON,CAMPUS REMEMBER,2006,1,8,115
SANDRA,KILMER,CANDIDATE PERDITION,2006,4,23,116
SANDRA,KILMER,CANDLES GRAPES,2006,10,23,117
ZERO,CAGE,CANYON STOCK,2006,2,11,118
VAL,BOLGER,CANYON STOCK,2006,2,37,118
HELEN,VOIGHT,CAPER MOTIONS,2006,5,17,119
AUDREY,OLIVIER,CAPER MOTIONS,2006,5,34,119
VAL,BOLGER,CAPER MOTIONS,2006,5,37,119
KEVIN,BLOOM,CARIBBEAN LIBERTY,2006,12,25,120
FRED,COSTNER,CAROL TEXAS,2006,2,16,121
VAL,BOLGER,CARRIE BUNCH,2006,11,37,122
CAMERON,STREEP,CASABLANCA SUPER,2006,15,24,123
HELEN,VOIGHT,CASPER DRAGONFLY,2006,3,17,124
CUBA,OLIVIER,CASSIDY WYOMING,2006,16,15,125
SANDRA,KILMER,CASSIDY WYOMING,2006,16,23,125
AUDREY,OLIVIER,CASSIDY WYOMING,2006,16,34,125
CAMERON,STREEP,CASUALTIES ENCINO,2006,1,24,126
HELEN,VOIGHT,CAT CONEHEADS,2006,5,17,127
JULIA,MCQUEEN,CATCH AMISTAD,2006,11,27,128
CAMERON,STREEP,CAUSE DATE,2006,13,24,129
SANDRA,KILMER,CELEBRITY HORN,2006,6,23,130
ALEC,WAYNE,CENTER DINOSAUR,2006,4,29,131
NICK,WAHLBERG,CHAINSAW UPTOWN,2006,14,2,132
ALEC,WAYNE,CHAMBER ITALIAN,2006,12,29,133
RIP,CRAWFORD,CHAMPION FLATLINERS,2006,7,26,134
MILLA,PECK,CHANCE RESURRECTION,2006,15,33,135
TIM,HACKMAN,CHAPLIN LICENSE,2006,13,32,136
SANDRA,KILMER,CHARADE DUFFEL,2006,7,23,137
ELVIS,MARX,CHARIOTS CONSPIRACY,2006,6,22,138
KEVIN,BLOOM,CHASING FIGHT,2006,7,25,139
PENELOPE,GUINESS,CHEAPER CLYDE,2006,14,1,140
LUCILLE,TRACY,CHEAPER CLYDE,2006,14,20,140
ELVIS,MARX,CHICAGO NORTH,2006,15,22,141
KIRSTEN,PALTROW,CHICKEN HELLFIGHTERS,2006,6,21,142
KIRSTEN,PALTROW,CHILL LUCK,2006,1,21,143
UMA,WOOD,CHINATOWN GLADIATOR,2006,13,13,144
DAN,TORN,CHINATOWN GLADIATOR,2006,13,18,144
BOB,FAWCETT,CHINATOWN GLADIATOR,2006,13,19,144
NICK,WAHLBERG,CHISUM BEHAVIOR,2006,8,2,145
JOHNNY,LOLLOBRIGIDA,CHITTY LOCK,2006,7,5,146
LUCILLE,TRACY,CHITTY LOCK,2006,7,20,146
ELVIS,MARX,CHITTY LOCK,2006,7,22,146
SISSY,SOBIESKI,CHITTY LOCK,2006,7,31,146
VAL,BOLGER,CHITTY LOCK,2006,7,37,146
JOE,SWANK,CHOCOLAT HARRY,2006,8,9,147
RIP,CRAWFORD,CHOCOLAT HARRY,2006,8,26,147
JOE,SWANK,CHOCOLATE DUCK,2006,9,9,148
CAMERON,STREEP,CHOCOLATE DUCK,2006,9,24,148
CAMERON,STREEP,CHRISTMAS MOONSHINE,2006,11,24,149
JULIA,MCQUEEN,CIDER DESIRE,2006,6,27,150
KIRSTEN,PALTROW,CINCINATTI WHISPERER,2006,7,21,151
BOB,FAWCETT,CIRCUS YOUTH,2006,3,19,152
KEVIN,BLOOM,CITIZEN SHREK,2006,14,25,153
UMA,WOOD,CLASH FREDDY,2006,2,13,154
VIVIEN,BERGEN,CLASH FREDDY,2006,2,14,154
HELEN,VOIGHT,CLASH FREDDY,2006,2,17,154
MILLA,PECK,CLASH FREDDY,2006,2,33,154
KARL,BERRY,CLEOPATRA DEVIL,2006,13,12,155
FRED,COSTNER,CLEOPATRA DEVIL,2006,13,16,155
LUCILLE,TRACY,CLERKS ANGELS,2006,9,20,156
SANDRA,KILMER,CLOCKWORK PARADISE,2006,1,23,157
MATTHEW,JOHANSSON,CLONES PINOCCHIO,2006,12,8,158
KIRSTEN,PALTROW,CLOSER BANG,2006,5,21,159
TOM,MCKELLEN,CLUB GRAFFITI,2006,2,38,160
LUCILLE,TRACY,CLUE GRAIL,2006,1,20,161
UMA,WOOD,CLUELESS BUCKET,2006,1,13,162
SISSY,SOBIESKI,CLYDE THEORY,2006,13,31,163
BETTE,NICHOLSON,COAST RAINBOW,2006,6,6,164
CAMERON,STREEP,COAST RAINBOW,2006,6,24,164
SISSY,SOBIESKI,COAST RAINBOW,2006,6,31,164
BETTE,NICHOLSON,COLDBLOODED DARLING,2006,14,6,165
LUCILLE,TRACY,COLDBLOODED DARLING,2006,14,20,165
PENELOPE,GUINESS,COLOR PHILADELPHIA,2006,4,1,166
BOB,FAWCETT,COMA HEAD,2006,15,19,167
GOLDIE,BRODY,COMANCHEROS ENEMY,2006,3,39,168
ELVIS,MARX,COMFORTS RUSH,2006,2,22,169
GRACE,MOSTEL,COMMAND DARLING,2006,9,7,170
JOHNNY,LOLLOBRIGIDA,COMMANDMENTS EXPRESS,2006,11,5,171
BURT,DUKAKIS,COMMANDMENTS EXPRESS,2006,11,36,171
JOHNNY,LOLLOBRIGIDA,CONEHEADS SMOOCHY,2006,7,5,172
DAN,TORN,CONEHEADS SMOOCHY,2006,7,18,172
JULIA,MCQUEEN,CONEHEADS SMOOCHY,2006,7,27,172
ALEC,WAYNE,CONEHEADS SMOOCHY,2006,7,29,172
AUDREY,OLIVIER,CONEHEADS SMOOCHY,2006,7,34,172
GRACE,MOSTEL,CONFESSIONS MAGUIRE,2006,7,7,173
BOB,FAWCETT,CONFIDENTIAL INTERVIEW,2006,3,19,174
DAN,TORN,CONFUSED CANDLES,2006,2,18,175
TOM,MCKELLEN,CONGENIALITY QUEST,2006,15,38,176
KARL,BERRY,CONNECTICUT TRAMP,2006,14,12,177
FRED,COSTNER,CONNECTICUT TRAMP,2006,14,16,177
CAMERON,STREEP,CONNECTION MICROCOSMOS,2006,5,24,178
MATTHEW,JOHANSSON,CONQUERER NUTS,2006,7,8,179
KIRSTEN,PALTROW,CONQUERER NUTS,2006,7,21,179
KEVIN,BLOOM,CONQUERER NUTS,2006,7,25,179
KIRSTEN,PALTROW,CONSPIRACY SPIRIT,2006,15,21,180
DAN,TORN,CONTACT ANONYMOUS,2006,4,18,181
BOB,FAWCETT,CONTROL ANTHEM,2006,5,19,182
AUDREY,OLIVIER,CONTROL ANTHEM,2006,5,34,182
HELEN,VOIGHT,CONVERSATION DOWNHILL,2006,3,17,183
LUCILLE,TRACY,CORE SUIT,2006,2,20,184
ED,CHASE,COWBOY DOOM,2006,9,3,185
RIP,CRAWFORD,CRAFT OUTFIELD,2006,7,26,186
VIVIEN,BERGEN,CRANES RESERVOIR,2006,15,14,187
SISSY,SOBIESKI,CRAZY HOME,2006,5,31,188
HELEN,VOIGHT,CREATURES SHAKESPEARE,2006,12,17,189
FRED,COSTNER,CREEPERS KANE,2006,8,16,190
JOE,SWANK,CROOKED FROGMEN,2006,3,9,191
CHRISTIAN,GABLE,CROOKED FROGMEN,2006,3,10,191
BOB,FAWCETT,CROSSING DIVORCE,2006,8,19,192
BETTE,NICHOLSON,CROSSROADS CASUALTIES,2006,2,6,193
CAMERON,STREEP,CROW GREASE,2006,1,24,194
MATTHEW,JOHANSSON,CROWDS TELEMARK,2006,14,8,195
FRED,COSTNER,CRUELTY UNFORGIVEN,2006,7,16,196
TIM,HACKMAN,CRUSADE HONEY,2006,15,32,197
CUBA,OLIVIER,CRYSTAL BREAKING,2006,13,15,198
HELEN,VOIGHT,CUPBOARD SINNERS,2006,6,17,199
CAMERON,STREEP,CUPBOARD SINNERS,2006,6,24,199
TIM,HACKMAN,CUPBOARD SINNERS,2006,6,32,199
JOE,SWANK,CURTAIN VIDEOTAPE,2006,10,9,200
HELEN,VOIGHT,CYCLONE FAMILY,2006,9,17,201
RIP,CRAWFORD,CYCLONE FAMILY,2006,9,26,201
JUDY,DEAN,CYCLONE FAMILY,2006,9,35,201
JOHNNY,LOLLOBRIGIDA,DADDY PITTSBURGH,2006,5,5,202
JOHNNY,LOLLOBRIGIDA,DAISY MENAGERIE,2006,14,5,203
UMA,WOOD,DAISY MENAGERIE,2006,14,13,203
GOLDIE,BRODY,DAISY MENAGERIE,2006,14,39,203
JOE,SWANK,DALMATIONS SWEDEN,2006,7,9,204
KEVIN,BLOOM,DALMATIONS SWEDEN,2006,7,25,204
VAL,BOLGER,DALMATIONS SWEDEN,2006,7,37,204
MATTHEW,JOHANSSON,DANCES NONE,2006,1,8,205
ZERO,CAGE,DANCES NONE,2006,1,11,205
DAN,TORN,DANCING FEVER,2006,14,18,206
CUBA,OLIVIER,DANGEROUS UPTOWN,2006,6,15,207
KARL,BERRY,DARES PLUTO,2006,2,12,208
BOB,FAWCETT,DARES PLUTO,2006,2,19,208
DAN,TORN,DARKNESS WAR,2006,5,18,209
HELEN,VOIGHT,DARKO DORADO,2006,3,17,210
GOLDIE,BRODY,DARLING BREAKING,2006,8,39,211
BOB,FAWCETT,DARN FORRESTER,2006,1,19,212
SANDRA,KILMER,DARN FORRESTER,2006,1,23,212
KARL,BERRY,DATE SPEED,2006,8,12,213
KEVIN,BLOOM,DATE SPEED,2006,8,25,213
MILLA,PECK,DAUGHTER MADIGAN,2006,3,33,214
HELEN,VOIGHT,DAWN POND,2006,16,17,215
KARL,BERRY,DAY UNFAITHFUL,2006,13,12,216
GRACE,MOSTEL,DAZED PUNK,2006,10,7,217
BOB,FAWCETT,DAZED PUNK,2006,10,19,217
GRACE,MOSTEL,DECEIVER BETRAYED,2006,7,7,218
FRED,COSTNER,DECEIVER BETRAYED,2006,7,16,218
TIM,HACKMAN,DEEP CRUSADE,2006,6,32,219
FRED,COSTNER,DEER VIRGINIAN,2006,14,16,220
FRED,COSTNER,DELIVERANCE MULHOLLAND,2006,6,16,221
GOLDIE,BRODY,DESERT POSEIDON,2006,11,39,222
TOM,MCKELLEN,DESIRE ALIEN,2006,2,38,223
